date,index,day
1/1/2020,3.46,32
1/2/2020,3.52,33
1/3/2020,5.52,34
1/4/2020,6.1,35
1/5/2020,5.32,36
1/6/2020,5.6,37
1/7/2020,6.41,38
1/8/2020,7.34,39
1/9/2020,8.14,40
1/10/2020,6.62,41
1/11/2020,7.56,42
1/12/2020,6.22,43
1/13/2020,5.76,44
1/14/2020,5.46,45
1/15/2020,5.91,46
1/16/2020,6,47
1/17/2020,6.44,48
1/18/2020,7.71,49
1/19/2020,7.41,50
1/20/2020,8.31,51
1/21/2020,10.74,52
1/22/2020,11.84,53
1/23/2020,15.03,54
